seller_id,category,category_revenue,category_order,category_item_sold,avg_review_score,delay_rate_pct
0015a82c2db000af6aaaf3ae2ecb0532,small_appliances,2685.00,3,3,NULL,0.00
001cca7ae9ae17fb1caed9dfb1094831,construction_tools_construction,2925.73,23,27,NULL,7.41
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,21561.30,172,207,NULL,4.83
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,1216.60,50,54,NULL,16.67
003554e2dce176b5555353e4f3555ac8,unknown,120.00,1,1,NULL,0.00
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,17698.71,145,156,5.00,5.13
004c9cd9d87a3c30c522c48c4fc07416,unknown,1871.02,12,12,NULL,16.67
00720abe85ba0859807595bbf045a33b,housewares,1007.50,13,26,NULL,7.69
00ab3eff1b5192e5f1a63bcecfee11c8,health_beauty,98.00,1,1,NULL,0.00
00d8b143d12632bad99c0ad66ad52825,fashion_bags_accessories,86.00,1,1,NULL,0.00
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,18400.00,113,150,NULL,5.33
00ee68308b45bc5e2660cd833c3f81cc,furniture_mattress_and_upholstery,1860.00,22,22,NULL,13.64
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,12684.90,103,135,NULL,3.70
010543a62bd80aa422851e79a3bc7540,computers_accessories,1416.00,2,2,NULL,0.00
010da0602d7774602cd1b3f5fb7b709e,kitchen_dining_laundry_garden_furniture,849.50,1,5,NULL,0.00
011b0eaba87386a2ae96a7d32bb531d1,health_beauty,99.98,1,2,NULL,0.00
01266d4c46afa519678d16a8b683d325,costruction_tools_tools,90.25,3,3,NULL,0.00
013900e863eace745d3ec7614cab5b1a,baby,581.80,8,10,NULL,0.00
013900e863eace745d3ec7614cab5b1a,fashion_shoes,993.00,14,15,NULL,0.00
013900e863eace745d3ec7614cab5b1a,stationery,44.90,1,1,NULL,0.00
014c0679dd340a0e338872e7ec85666a,garden_tools,589.00,1,1,NULL,0.00
014c0679dd340a0e338872e7ec85666a,kitchen_dining_laundry_garden_furniture,5073.00,10,10,NULL,20.00
014c0679dd340a0e338872e7ec85666a,signaling_and_security,1396.00,3,4,NULL,0.00
014d9a685fd57276679edd00e07089e5,cool_stuff,209.97,3,3,NULL,0.00
014d9a685fd57276679edd00e07089e5,stationery,519.91,8,9,NULL,0.00
0176f73cc1195f367f7b32db1e5b3aa8,bed_bath_table,4643.20,37,38,NULL,10.53
01bcc9d254a0143f0ce9791b960b2a47,health_beauty,1393.21,10,10,4.00,0.00
01c97ebb5cdac52891c0ed1c37ba0012,computers_accessories,577.50,9,12,NULL,0.00
01cf7e3d21494c41fb86034f2e714fa1,air_conditioning,1441.10,18,20,NULL,0.00
01cf7e3d21494c41fb86034f2e714fa1,baby,415.26,3,3,NULL,0.00
01cf7e3d21494c41fb86034f2e714fa1,bed_bath_table,125.90,1,1,NULL,0.00
01cf7e3d21494c41fb86034f2e714fa1,cool_stuff,493.45,6,6,NULL,0.00
01cf7e3d21494c41fb86034f2e714fa1,home_appliances,629.90,1,1,NULL,0.00
01cf7e3d21494c41fb86034f2e714fa1,home_appliances_2,3179.59,12,12,NULL,8.33
01cf7e3d21494c41fb86034f2e714fa1,housewares,1662.20,14,18,4.00,5.56
01cf7e3d21494c41fb86034f2e714fa1,small_appliances,748.90,2,2,NULL,0.00
01cf7e3d21494c41fb86034f2e714fa1,unknown,743.26,2,2,NULL,50.00
01ed254b9ff8407dfb9d99ba1e17d923,watches_gifts,1465.99,5,5,NULL,0.00
