seller_id,seller_city,seller_state,purchase_year_month,monthly_revenue,monthly_orders,monthly_items_sold,monthly_avg_review_score,monthly_delay_rate_pct,monthly_avg_delivery_days
0015a82c2db000af6aaaf3ae2ecb0532,"santo andre",SP,2017-09,895.00,1,1,NULL,0.00,10
0015a82c2db000af6aaaf3ae2ecb0532,"santo andre",SP,2017-10,1790.00,2,2,NULL,0.00,10.5
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2017-02,1098.90,5,11,NULL,0.00,11.73
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2017-03,1676.70,11,17,NULL,5.88,12.29
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2017-04,1708.20,13,15,NULL,6.67,11.07
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2017-05,2639.99,23,26,NULL,0.00,8.27
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2017-06,2213.49,21,22,NULL,4.55,10.91
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2017-07,2483.95,21,25,NULL,4.00,12.24
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2017-08,1244.00,11,12,NULL,0.00,10.33
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2017-09,1714.00,12,16,NULL,0.00,11.75
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2017-10,2626.00,22,25,NULL,8.00,12.36
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2017-11,2540.00,20,25,NULL,12.00,15.8
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2017-12,1330.00,12,13,NULL,7.69,17.08
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2018-01,914.00,8,8,NULL,12.50,15.12
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2018-02,331.00,3,3,NULL,0.00,18
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2018-03,1056.90,6,9,NULL,0.00,16.56
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2018-04,539.00,4,4,NULL,25.00,25.25
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2018-06,241.00,2,2,NULL,0.00,10
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,2018-07,129.90,1,1,NULL,0.00,7
002100f778ceb8431b7a1020ff7ab48f,franca,SP,2017-09,47.60,3,4,NULL,0.00,8.5
002100f778ceb8431b7a1020ff7ab48f,franca,SP,2017-10,191.90,9,11,NULL,9.09,14.91
002100f778ceb8431b7a1020ff7ab48f,franca,SP,2017-11,276.80,11,12,NULL,16.67,17.42
002100f778ceb8431b7a1020ff7ab48f,franca,SP,2017-12,265.50,15,15,NULL,20.00,16.73
002100f778ceb8431b7a1020ff7ab48f,franca,SP,2018-01,77.70,3,3,NULL,0.00,11.67
002100f778ceb8431b7a1020ff7ab48f,franca,SP,2018-02,189.60,4,4,NULL,25.00,20.5
002100f778ceb8431b7a1020ff7ab48f,franca,SP,2018-03,57.70,3,3,NULL,66.67,20
002100f778ceb8431b7a1020ff7ab48f,franca,SP,2018-04,109.80,2,2,NULL,0.00,8.5
003554e2dce176b5555353e4f3555ac8,goiania,GO,2017-12,120.00,1,1,NULL,0.00,4
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2017-01,719.94,6,6,NULL,16.67,15
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2017-02,2043.36,12,15,NULL,0.00,11.07
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2017-03,1078.91,6,9,NULL,0.00,5.89
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2017-04,1389.92,10,11,NULL,9.09,14.45
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2017-05,445.96,4,4,NULL,0.00,10.75
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2017-06,1338.90,9,10,NULL,0.00,12
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2017-07,1263.62,12,13,5.00,7.69,15.31
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2017-08,2653.98,21,22,NULL,0.00,11.73
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2017-09,1278.22,14,15,NULL,6.67,12.2
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2017-10,679.85,6,6,NULL,16.67,14.5
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2017-11,2095.40,18,18,NULL,11.11,17.28
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2017-12,1374.81,13,13,NULL,0.00,16.08
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2018-01,1110.16,8,8,NULL,0.00,13.25
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2018-02,395.19,3,3,NULL,33.33,21
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2018-03,659.66,8,8,NULL,25.00,24.75
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2018-04,692.35,4,5,NULL,0.00,14
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,2018-05,349.50,2,2,NULL,0.00,15
00720abe85ba0859807595bbf045a33b,guarulhos,SP,2018-01,156.00,1,2,NULL,0.00,13
00720abe85ba0859807595bbf045a33b,guarulhos,SP,2018-02,78.00,1,1,NULL,0.00,8
00720abe85ba0859807595bbf045a33b,guarulhos,SP,2018-03,54.00,2,4,NULL,25.00,17.5
00720abe85ba0859807595bbf045a33b,guarulhos,SP,2018-04,151.70,3,6,NULL,0.00,7.17
00720abe85ba0859807595bbf045a33b,guarulhos,SP,2018-05,269.60,3,5,NULL,0.00,6.8
00720abe85ba0859807595bbf045a33b,guarulhos,SP,2018-06,88.20,1,6,NULL,0.00,2
00720abe85ba0859807595bbf045a33b,guarulhos,SP,2018-07,78.00,1,1,NULL,0.00,10
00720abe85ba0859807595bbf045a33b,guarulhos,SP,2018-08,132.00,1,1,NULL,100.00,9
00ab3eff1b5192e5f1a63bcecfee11c8,"sao paulo",SP,2017-03,98.00,1,1,NULL,0.00,9
00d8b143d12632bad99c0ad66ad52825,"belo horizonte",MG,2018-03,86.00,1,1,NULL,0.00,7
00ee68308b45bc5e2660cd833c3f81cc,"sao paulo",SP,2017-09,240.00,2,3,NULL,0.00,3
00ee68308b45bc5e2660cd833c3f81cc,"sao paulo",SP,2017-10,1016.00,11,11,NULL,9.09,8.82
00ee68308b45bc5e2660cd833c3f81cc,"sao paulo",SP,2017-11,1735.00,12,17,NULL,0.00,6.18
00ee68308b45bc5e2660cd833c3f81cc,"sao paulo",SP,2017-12,1777.00,16,19,NULL,0.00,6.74
00ee68308b45bc5e2660cd833c3f81cc,"sao paulo",SP,2018-01,6534.00,42,61,NULL,3.28,8.67
