seller_id,seller_city,seller_state,total_revenue,total_orders,total_items_sold,avg_order_value,avg_review_score,low_review_score_pct,avg_delivery_days,delay_rate_pct,avg_delay_days,seller_segment
0015a82c2db000af6aaaf3ae2ecb0532,"santo andre",SP,2685.00,3,3,895.00,NULL,NULL,10.33,0.00,-16.33,"Standard Seller"
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,24487.03,195,234,125.57,NULL,NULL,12.63,5.13,-13.21,"Standard Seller"
002100f778ceb8431b7a1020ff7ab48f,franca,SP,1216.60,50,54,24.33,NULL,NULL,15.78,16.67,-8.19,"Standard Seller"
003554e2dce176b5555353e4f3555ac8,goiania,GO,120.00,1,1,120.00,NULL,NULL,4,0.00,-27,"Low Impact"
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,19569.73,156,168,125.45,5.00,0.00,13.96,5.95,-11.98,"Standard Seller"
00720abe85ba0859807595bbf045a33b,guarulhos,SP,1007.50,13,26,77.50,NULL,NULL,8.15,7.69,-12.73,"Standard Seller"
00ab3eff1b5192e5f1a63bcecfee11c8,"sao paulo",SP,98.00,1,1,98.00,NULL,NULL,9,0.00,-10,"Low Impact"
00d8b143d12632bad99c0ad66ad52825,"belo horizonte",MG,86.00,1,1,86.00,NULL,NULL,7,0.00,-22,"Low Impact"
00ee68308b45bc5e2660cd833c3f81cc,"sao paulo",SP,20260.00,135,172,150.07,NULL,NULL,8.73,6.40,-10.86,"Standard Seller"
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,12684.90,103,135,123.15,NULL,NULL,15.35,3.70,-15.53,"Standard Seller"
010543a62bd80aa422851e79a3bc7540,"sao paulo",SP,1416.00,2,2,708.00,NULL,NULL,8.5,0.00,-8.5,"Standard Seller"
010da0602d7774602cd1b3f5fb7b709e,"sao bernardo do campo",SP,849.50,1,5,849.50,NULL,NULL,26,0.00,-10,"Low Impact"
011b0eaba87386a2ae96a7d32bb531d1,pompeia,SP,99.98,1,2,99.98,NULL,NULL,25,0.00,-30,"Low Impact"
